estado,medio,metodo,url
Aguascalientes,El Heraldo de Aguascalientes,wp_api,https://www.heraldo.mx
Aguascalientes,El Sol del Centro,rss,https://oem.com.mx/elsoldelcentro
Aguascalientes,LJA.mx,wp_api,https://www.lja.mx
Baja California,Frontera,sitemap,https://www.frontera.info
Baja California,La Voz de la Frontera,rss,https://oem.com.mx/lavozdelafrontera
Baja California,Zeta Tijuana,wp_api,https://zetatijuana.com
Baja California Sur,BCS Noticias,wp_api,https://www.bcsnoticias.mx
Baja California Sur,Diario El Independiente,rss,https://www.diarioelindependiente.mx
Baja California Sur,El Sudcaliforniano,rss,https://oem.com.mx/elsudcaliforniano
Campeche,Novedades de Campeche,wp_api,https://novedadescampeche.com.mx
Campeche,Por Esto! Campeche,no_accesible,https://www.poresto.net
Campeche,Tribuna Campeche,wp_api,https://tribunacampeche.com
Chiapas,Chiapas Paralelo,wp_api,https://www.chiapasparalelo.com
Chiapas,Cuarto Poder,sitemap,https://www.cuartopoder.mx
Chiapas,Diario de Chiapas,wp_api,https://diariodechiapas.com
Chihuahua,El Diario de Chihuahua,sitemap,https://www.eldiariodechihuahua.mx
Chihuahua,El Heraldo de Chihuahua,rss,https://oem.com.mx/elheraldodechihuahua
Chihuahua,Net Noticias,sitemap,https://netnoticias.mx
Ciudad de México,Capital 21,sitemap,https://www.capital21.cdmx.gob.mx
Ciudad de México,La Prensa,no_accesible,https://oem.com.mx/laprensa
Ciudad de México,La Silla Rota,no_accesible,https://lasillarota.com
Coahuila,El Siglo de Torreón,no_accesible,https://www.elsiglodetorreon.com.mx
Coahuila,Vanguardia,rss,https://vanguardia.com.mx
Coahuila,Zócalo,wp_api,https://www.zocalo.com.mx
Colima,AFmedios,wp_api,https://www.afmedios.com
Colima,Colima Noticias,wp_api,https://www.colimanoticias.com
Colima,Diario de Colima,no_accesible,https://www.diariodecolima.com
Durango,Contexto de Durango,wp_api,https://contextodedurango.com.mx
Durango,El Siglo de Durango,sitemap,https://www.elsiglodedurango.com.mx
Durango,El Sol de Durango,rss,https://oem.com.mx/elsoldedurango
México,El Sol de Toluca,rss,https://oem.com.mx/elsoldetoluca
México,Heraldo Estado de México,no_accesible,https://heraldoestadodemexico.com.mx
México,Quadratín Edomex,wp_api,https://edomex.quadratin.com.mx
Guanajuato,AM de León,wp_api,https://www.am.com.mx
Guanajuato,Periódico Correo,sitemap,https://periodicocorreo.com.mx
Guanajuato,Zona Franca,sitemap,https://zonafranca.mx
Guerrero,El Sol de Acapulco,rss,https://oem.com.mx/elsoldeacapulco
Guerrero,El Sur de Acapulco,wp_api,https://suracapulco.mx
Guerrero,Quadratín Guerrero,wp_api,https://guerrero.quadratin.com.mx
Hidalgo,Criterio Hidalgo,sitemap,https://criteriohidalgo.com
Hidalgo,El Independiente de Hidalgo,wp_api,https://www.elindependientedehidalgo.com.mx
Hidalgo,Quadratín Hidalgo,wp_api,https://hidalgo.quadratin.com.mx
Jalisco,El Informador,sitemap,https://www.informador.mx
Jalisco,El Occidental,rss,https://oem.com.mx/eloccidental
Jalisco,NTR Guadalajara,sitemap,https://www.ntrguadalajara.com
Michoacán,Cambio de Michoacán,wp_api,https://cambiodemichoacan.com.mx
Michoacán,La Voz de Michoacán,wp_api,https://www.lavozdemichoacan.com.mx
Michoacán,Quadratín Michoacán,wp_api,https://www.quadratin.com.mx
Morelos,Diario de Morelos,sitemap,https://www.diariodemorelos.com
Morelos,El Sol de Cuernavaca,rss,https://oem.com.mx/elsoldecuernavaca
Morelos,La Unión de Morelos,no_accesible,https://www.launion.com.mx
Nayarit,Express de Nayarit,no_accesible,https://expressnayarit.mx
Nayarit,Meridiano de Nayarit,wp_api,https://meridiano.mx
Nayarit,Nayarit en Línea,rss,https://nayaritenlinea.mx
Nuevo León,El Norte,sitemap,https://www.elnorte.com
Nuevo León,El Porvenir,sitemap,https://www.elporvenir.mx
Nuevo León,Multimedios,no_accesible,https://www.multimedios.com
Oaxaca,El Imparcial de Oaxaca,wp_api,https://imparcialoaxaca.mx
Oaxaca,NVI Noticias,rss,https://www.nvinoticias.com
Oaxaca,Quadratín Oaxaca,wp_api,https://oaxaca.quadratin.com.mx
Puebla,El Sol de Puebla,rss,https://oem.com.mx/elsoldepuebla
Puebla,Periódico Central,wp_api,https://www.periodicocentral.mx
Puebla,e-consulta,sitemap,https://www.e-consulta.com
Querétaro,AM Querétaro,sitemap,https://amqueretaro.com
Querétaro,Códice Informativo,wp_api,https://codiceinformativo.com
Querétaro,Diario de Querétaro,rss,https://oem.com.mx/diariodequeretaro
Quintana Roo,La Jornada Maya,sitemap,https://www.lajornadamaya.mx
Quintana Roo,Noticaribe,rss,https://noticaribe.com.mx
Quintana Roo,Novedades Quintana Roo,no_accesible,https://sipse.com/novedades
San Luis Potosí,La Jornada San Luis,wp_api,https://lajornadasanluis.com.mx
San Luis Potosí,Plano Informativo,no_accesible,https://planoinformativo.com
San Luis Potosí,Pulso Diario de San Luis,sitemap,https://pulsoslp.com.mx
Sinaloa,El Debate,no_accesible,https://www.debate.com.mx
Sinaloa,Noroeste,sitemap,https://www.noroeste.com.mx
Sinaloa,Ríodoce,no_accesible,https://riodoce.mx
Sonora,El Imparcial,rss,https://www.elimparcial.com
Sonora,Expreso,wp_api,https://www.expreso.com.mx
Sonora,Proyecto Puente,wp_api,https://proyectopuente.com.mx
Tabasco,Diario Presente,sitemap,https://www.diariopresente.mx
Tabasco,El Heraldo de Tabasco,rss,https://oem.com.mx/elheraldodetabasco
Tabasco,Tabasco Hoy,wp_api,https://www.tabascohoy.com
Tamaulipas,El Mañana,sitemap,https://www.elmanana.com
Tamaulipas,Expreso Tamaulipas,wp_api,https://expreso.press
Tamaulipas,Hora Cero,wp_api,https://horacero.com.mx
Tlaxcala,El Sol de Tlaxcala,rss,https://oem.com.mx/elsoldetlaxcala
Tlaxcala,Síntesis Tlaxcala,no_accesible,https://tlaxcala.sintesis.mx
Tlaxcala,e-consulta Tlaxcala,sitemap,https://www.e-tlaxcala.mx
Veracruz,Al Calor Político,sitemap,https://www.alcalorpolitico.com
Veracruz,Diario de Xalapa,rss,https://oem.com.mx/diariodexalapa
Veracruz,e-consulta Veracruz,sitemap,https://www.e-veracruz.mx
Yucatán,Diario de Yucatán,wp_api,https://www.yucatan.com.mx
Yucatán,La Jornada Maya,sitemap,https://www.lajornadamaya.mx
Yucatán,Por Esto! Yucatán,no_accesible,https://www.poresto.net/yucatan
Zacatecas,Imagen de Zacatecas,sitemap,https://www.imagenzac.com.mx
Zacatecas,La Jornada Zacatecas,wp_api,https://ljz.mx
Zacatecas,NTR Zacatecas,wp_api,https://ntrzacatecas.com
